Age,Flight Distance,Gender,Customer Type,Type of Travel,Class
57,2716,1,0,1,Eco Plus
47,317,1,1,1,Eco
49,3260,1,0,1,Business
58,575,1,1,1,Eco
28,4571,1,1,1,Business
17,2110,0,1,0,Eco
7,1674,0,1,0,Eco
42,2035,1,1,1,Business
56,3763,1,1,1,Business
57,3298,0,1,1,Business
60,1707,0,1,0,Eco
42,3656,0,1,1,Business
27,1485,1,1,0,Eco
28,2743,1,1,1,Business
37,2193,0,1,0,Eco
55,3592,1,1,1,Business
46,2650,0,1,1,Business
60,1751,0,1,1,Business
42,630,1,1,1,Eco
35,408,1,1,0,Business
50,2880,0,1,1,Eco
26,1905,1,0,1,Business
42,1867,0,1,1,Eco
25,2020,0,0,1,Business
16,1429,0,1,0,Eco
66,1209,1,1,0,Eco
45,753,0,1,1,Business
16,2146,0,1,0,Eco
30,1658,0,0,1,Eco
44,1397,1,1,0,Eco
38,1888,1,1,1,Business
57,1651,0,1,0,Eco
22,2951,0,0,1,Eco
37,1837,0,0,1,Business
24,1843,0,1,0,Eco
38,1248,0,0,1,Business
37,2317,0,0,1,Eco
14,1343,1,0,1,Eco
14,2283,0,1,0,Eco Plus
28,2893,1,0,1,Eco
50,764,1,1,0,Eco
44,2441,0,1,0,Eco
51,2377,0,1,1,Business
55,1245,0,1,1,Business
26,1533,0,0,1,Eco
31,1827,0,1,1,Eco Plus
20,2793,0,1,0,Eco
47,2112,1,1,1,Business
41,1544,0,1,1,Eco
46,1033,0,1,0,Eco
54,550,1,1,1,Eco
59,734,1,1,0,Eco
62,959,1,1,0,Business
50,3537,1,1,1,Business
49,2482,0,1,1,Business
30,2128,1,0,1,Business
24,2144,0,0,1,Eco
28,4149,0,1,1,Business
27,2998,1,0,1,Business
31,1932,0,1,1,Eco
51,1246,0,1,1,Eco
70,2515,0,1,0,Eco
29,2977,1,1,1,Business
62,1655,1,1,0,Eco
59,250,1,1,1,Business
28,2556,1,1,0,Eco
39,2167,1,1,1,Business
25,1668,0,1,0,Eco
7,1961,0,1,0,Eco
45,1972,0,1,1,Business
66,286,1,1,0,Eco
21,5391,1,1,1,Business
16,1658,1,1,0,Eco
38,1815,1,1,1,Business
49,2437,1,1,1,Business
44,1171,1,1,1,Business
41,2013,0,1,1,Eco
68,1138,0,1,0,Eco
27,1626,0,0,1,Business
7,1719,1,1,0,Eco
42,1609,1,1,1,Business
65,2046,0,1,0,Eco
57,730,1,1,0,Business
54,62,1,1,1,Eco Plus
40,980,1,1,1,Eco
27,3246,0,0,1,Eco
10,2516,0,1,0,Eco
16,2775,0,0,1,Eco
25,2195,0,0,1,Eco
13,2566,0,1,0,Eco
18,2168,0,1,1,Eco
41,386,0,1,1,Business
51,3286,1,1,1,Business
58,643,1,1,0,Eco
34,1823,1,0,1,Eco
17,1228,1,1,0,Eco
33,4774,0,1,1,Business
35,2183,1,1,1,Eco Plus
24,3379,1,1,1,Business
41,735,1,1,1,Business
36,316,0,1,1,Business
22,1695,1,0,1,Eco
70,1997,0,1,0,Eco
42,3547,1,1,1,Business
59,1931,0,1,1,Eco
27,2858,0,1,1,Business
53,2174,0,1,1,Business
34,231,1,1,1,Business
19,1337,1,1,0,Eco
51,1597,1,1,1,Business
80,540,1,0,1,Business
22,1140,0,0,1,Eco
56,1504,0,1,0,Eco
49,2535,1,1,1,Business
50,2490,0,1,1,Eco
64,911,1,1,0,Eco
26,1045,1,0,1,Business
65,3826,0,1,1,Business
10,1270,1,0,1,Eco
23,1331,1,0,1,Eco
33,3236,1,1,1,Business
46,606,1,1,0,Eco
9,1567,1,1,0,Eco
25,2344,0,0,1,Eco
46,1038,0,1,1,Business
53,1093,1,1,1,Business
47,3795,0,1,0,Eco
66,2286,0,1,0,Eco
15,1761,1,1,0,Eco
55,3481,0,1,1,Business
21,1824,0,1,0,Eco
39,1576,0,1,1,Business
31,2853,0,1,1,Business
39,1715,0,0,1,Eco
56,1362,0,1,0,Eco
54,1930,0,1,0,Eco
50,378,0,1,1,Business
65,587,1,1,0,Eco
26,2705,1,1,1,Eco Plus
28,2396,1,1,0,Eco
17,1796,0,0,1,Eco
43,1634,0,1,0,Eco
40,2505,1,0,1,Business
52,639,1,1,1,Eco
43,3648,1,1,1,Business
37,1611,1,1,0,Eco
25,3202,0,1,1,Business
46,311,1,1,1,Eco
69,308,1,1,0,Eco
37,1368,1,1,1,Eco
24,2943,0,1,1,Eco Plus
56,393,1,1,0,Eco Plus
51,1167,0,1,1,Business
19,2273,0,1,0,Eco
23,1388,0,0,1,Eco
35,462,1,1,1,Business
27,1694,0,0,1,Eco
62,3257,1,1,1,Business
48,420,1,1,1,Business
55,4084,0,1,1,Eco
28,2491,0,0,1,Eco
26,2231,1,0,1,Eco
50,1267,1,1,1,Eco
48,506,1,1,1,Business
41,1965,0,1,1,Eco
12,2391,1,1,0,Eco
48,1818,1,1,1,Business
38,1679,0,0,1,Business
32,2151,1,1,1,Eco Plus
56,1903,0,1,0,Eco
59,1407,0,1,1,Eco
25,1270,1,1,1,Business
49,814,1,1,0,Eco
25,2879,1,0,1,Business
33,2122,1,1,0,Eco
63,1822,0,1,0,Eco
42,553,1,1,0,Eco
64,2291,0,1,1,Business
15,2289,0,1,0,Eco
46,279,0,1,1,Business
52,470,1,1,1,Business
46,1049,1,1,1,Business
23,1578,1,1,0,Eco Plus
32,1117,0,1,1,Eco Plus
47,1891,0,1,0,Eco
57,347,1,1,1,Business
43,1447,0,1,1,Business
34,1888,0,0,1,Eco
16,2322,1,0,1,Eco
43,2316,1,1,0,Eco
8,2355,1,1,0,Eco
51,1063,0,1,1,Business
59,2299,1,1,1,Business
47,1765,0,1,1,Eco Plus
54,1776,1,1,1,Eco
57,3969,1,1,1,Business
18,2480,1,0,1,Eco
11,1685,0,1,0,Eco
55,1235,1,1,1,Eco
69,273,1,1,0,Eco
36,1192,0,1,1,Eco
40,1770,1,1,0,Eco
63,1718,0,1,1,Eco
40,2535,0,0,1,Eco
40,2830,0,1,1,Business
24,2723,0,0,1,Eco
20,2353,0,1,1,Eco Plus
60,940,0,1,0,Business
43,525,1,1,0,Eco
24,2348,1,0,1,Eco
42,872,1,1,0,Eco
18,3532,0,1,1,Business
35,2106,1,1,0,Eco
35,3003,1,1,1,Business
50,3320,0,0,1,Eco Plus
39,1628,0,1,0,Eco
23,2387,1,0,1,Eco
25,3957,0,0,1,Business
27,2809,1,0,1,Eco
56,1164,1,1,1,Business
45,1654,0,1,1,Business
24,2283,1,1,1,Eco
22,1757,0,0,1,Eco
33,1836,0,1,0,Eco Plus
49,2515,0,1,0,Eco
42,3015,0,1,1,Business
65,1489,1,1,0,Eco
38,2579,0,1,0,Eco
22,2966,0,1,1,Business
47,84,1,1,0,Eco
29,3397,0,0,1,Business
17,1431,1,1,0,Eco
35,220,0,1,1,Business
54,694,1,1,1,Business
25,2895,1,0,1,Eco
19,2859,0,1,0,Eco Plus
32,1703,1,1,0,Eco
36,1364,0,1,0,Eco
36,249,1,1,1,Business
42,2637,0,1,0,Eco
43,3315,1,1,1,Business
10,2592,0,1,0,Eco
55,351,0,1,1,Business
32,2784,1,1,0,Eco
22,4109,0,0,1,Eco
27,1603,1,0,1,Eco
38,1265,0,1,0,Eco
32,2502,0,0,1,Business
36,1226,1,1,1,Business
60,2478,1,1,1,Business
44,2897,0,1,0,Eco
41,1774,0,1,1,Business
54,1088,1,1,1,Eco Plus
39,3687,0,0,1,Business
13,6792,1,1,0,Eco
29,1693,0,0,1,Business
46,2199,0,1,1,Business
58,402,1,1,0,Eco
65,888,1,1,0,Eco
43,1696,0,1,1,Eco
39,2071,1,1,0,Eco
52,4078,0,1,1,Eco
40,3274,0,1,1,Business
47,3231,0,1,1,Business
25,1559,0,0,1,Eco
15,2422,0,0,1,Eco
57,1825,0,1,0,Eco
60,272,1,1,0,Eco Plus
57,399,0,1,1,Business
52,385,1,1,1,Business
43,1976,1,1,1,Business
24,1983,1,0,1,Eco
9,2123,0,1,0,Eco
61,1784,0,1,0,Eco
60,2620,1,1,1,Business
49,1656,1,1,1,Business
25,1804,0,0,1,Business
47,1930,1,1,1,Business
37,2078,1,1,0,Eco
46,96,1,1,1,Eco Plus
23,1232,0,0,1,Eco
55,1766,1,1,0,Eco
45,1783,1,0,1,Eco
45,1288,0,1,1,Business
30,1185,0,0,1,Eco
31,2798,1,1,1,Business
53,3647,0,1,1,Business
61,2140,0,1,1,Eco
34,1253,1,1,0,Eco
52,1255,0,1,0,Eco
70,2473,1,1,1,Business
56,342,1,1,1,Eco
32,3012,0,1,0,Eco Plus
50,2007,0,1,1,Business
62,2205,0,1,0,Eco
53,352,1,1,1,Eco
39,2844,0,1,1,Eco
16,1950,1,0,1,Eco
14,3568,0,1,0,Eco
67,115,0,1,1,Business
43,2741,1,1,0,Eco
54,2324,0,1,0,Eco
23,3322,1,1,1,Business
67,1113,0,1,0,Eco
18,1163,0,1,0,Eco
39,3122,0,1,1,Business
23,4272,0,1,0,Eco
49,384,1,1,1,Business
26,1386,0,0,1,Eco
67,446,1,1,1,Eco
45,869,1,1,0,Eco
70,1792,0,1,1,Eco
54,1755,0,1,1,Business
52,2219,0,1,1,Business
59,3252,0,1,0,Eco
36,1456,0,0,1,Eco
29,2261,0,1,0,Eco
49,2239,0,1,0,Eco
50,1163,1,1,1,Eco
49,81,1,1,0,Eco
43,3760,0,1,0,Eco
65,2190,1,1,0,Eco
21,1582,1,0,1,Business
59,2397,0,1,0,Eco
12,1957,0,1,0,Eco
46,1332,1,1,0,Eco Plus
55,3287,1,1,1,Business
8,1878,1,1,0,Eco Plus
25,1928,1,1,1,Business
41,2847,0,1,1,Business
42,629,1,1,0,Eco
42,4636,0,0,1,Business
52,381,1,1,0,Eco
39,1687,1,0,1,Business
47,504,1,1,1,Business
22,1988,1,0,1,Eco
22,3449,1,1,1,Business
30,1644,1,1,1,Business
25,1963,1,0,1,Business
53,1749,0,1,1,Eco
37,2507,0,1,1,Business
39,2602,1,0,1,Business
18,2131,1,0,1,Business
16,3009,0,1,0,Eco
62,3296,0,1,0,Eco
60,1080,1,1,0,Eco Plus
57,563,1,1,0,Eco
33,1191,0,0,1,Eco
52,2213,0,1,0,Eco
53,1406,1,1,1,Business
59,207,0,1,1,Business
33,2221,1,0,1,Eco
39,974,0,1,1,Business
57,2014,0,1,1,Business
22,802,0,0,1,Eco
30,1978,0,0,1,Eco
25,3932,1,1,1,Business
40,2340,0,1,0,Eco
42,782,0,1,1,Business
25,2408,1,0,1,Business
50,2286,0,1,0,Eco
22,1454,0,0,1,Business
39,2750,1,1,1,Business
52,205,1,1,1,Eco Plus
27,6536,1,0,1,Business
36,1788,1,1,1,Eco Plus
65,2185,0,1,0,Eco
59,3121,1,1,1,Business
23,3005,0,1,1,Eco
34,2278,1,1,1,Business
58,1441,0,1,1,Eco
27,2190,1,0,1,Eco
36,1532,1,0,1,Eco
44,1121,0,0,1,Eco
39,2462,0,1,1,Business
56,264,1,1,0,Eco
39,2212,1,0,1,Business
21,2314,1,0,1,Eco
23,2800,1,1,1,Business
52,1642,0,1,0,Eco
23,2023,0,1,1,Eco
36,2091,1,1,1,Business
17,1260,1,1,0,Eco
64,2486,0,1,0,Eco
53,890,1,1,1,Eco
8,3522,0,1,0,Eco
36,3694,1,1,1,Business
25,1991,0,0,1,Business
23,1370,1,1,1,Eco
25,4312,1,1,1,Business
49,2847,0,1,1,Business
24,1724,1,1,1,Eco
33,2312,1,0,1,Business
53,641,1,1,0,Eco
39,212,0,1,1,Business
40,1569,0,0,1,Eco
49,2670,0,1,1,Eco
44,1352,1,0,1,Business
42,1138,1,1,1,Eco Plus
26,1998,1,0,1,Eco Plus
30,1697,1,0,1,Eco
42,1808,1,1,1,Business
35,2408,1,1,1,Eco
40,3577,1,1,0,Eco
65,2628,0,1,0,Eco
26,1459,0,0,1,Business
16,1201,0,1,0,Eco Plus
47,2342,0,0,1,Eco
49,1987,0,1,1,Business
26,2746,1,0,1,Business
56,543,1,1,1,Eco Plus
21,2267,0,1,0,Eco
18,1544,0,1,0,Eco
30,1712,1,1,1,Eco Plus
68,1019,0,1,1,Eco
36,463,1,1,1,Business
41,2081,1,1,0,Eco
27,2615,1,0,1,Eco
36,2638,1,1,1,Eco
13,1652,1,1,0,Eco
44,418,1,1,1,Eco
41,867,1,1,1,Business
57,620,1,1,0,Eco
27,2130,0,0,1,Business
56,1383,1,1,1,Business
54,735,0,1,1,Business
13,2210,0,1,0,Eco
37,3477,1,0,1,Business
37,1726,1,0,1,Business
55,643,1,1,1,Eco
35,1968,0,0,1,Eco
25,5057,1,1,1,Business
21,1504,1,0,1,Eco
26,2369,0,1,1,Eco
22,2352,1,1,0,Eco
61,1201,1,1,0,Eco Plus
36,1773,1,0,1,Eco
36,2194,1,1,1,Business
29,2049,1,0,1,Business
61,248,1,1,0,Eco
16,2049,1,1,1,Business
39,2695,0,1,1,Business
44,744,1,1,0,Eco
32,4117,1,1,1,Business
30,1856,0,0,1,Eco
58,2860,1,1,1,Business
42,458,1,1,1,Eco Plus
42,2694,1,1,1,Business
38,3399,1,0,1,Business
45,1906,1,1,1,Business
28,4512,0,1,1,Eco
22,1562,0,0,1,Eco
52,1761,1,1,1,Business
53,2425,1,1,1,Business
55,579,1,1,1,Business
20,2504,0,1,0,Eco
28,1412,0,1,1,Eco
59,1887,0,1,0,Eco
53,3725,0,1,0,Eco
25,2685,0,0,1,Business
27,2296,0,1,0,Eco
21,1667,0,1,0,Eco
42,594,0,1,1,Business
27,2332,0,0,1,Eco
68,2035,0,1,1,Eco Plus
26,2854,1,0,1,Business
42,2547,1,1,1,Business
48,1406,0,1,1,Business
43,2029,0,1,1,Business
49,3558,0,1,1,Business
22,3826,0,0,1,Business
37,1798,0,1,1,Business
59,883,1,1,1,Business
25,2084,0,1,1,Business
28,3970,1,1,1,Business
32,2043,1,1,0,Eco
35,2656,0,1,1,Business
40,1056,0,1,1,Business
40,1633,1,0,1,Business
27,3593,1,1,1,Business
42,630,1,1,1,Eco
32,2850,0,1,1,Business
23,2553,0,0,1,Eco
23,2718,1,1,1,Business
27,1134,0,0,1,Business
24,2289,1,1,1,Business
8,1039,1,1,0,Eco
26,2520,1,1,0,Eco
48,361,1,1,1,Eco
23,1788,0,0,1,Eco
29,3372,1,0,1,Eco
53,311,1,1,1,Business
52,328,1,1,1,Business
67,1994,1,1,0,Eco
56,1690,0,1,1,Business
47,3369,0,1,1,Business
51,4434,0,1,1,Business
51,1615,0,1,1,Eco
22,2642,1,0,1,Eco
33,2479,1,1,0,Eco
51,2737,1,1,1,Business
29,1800,0,0,1,Eco
39,769,1,1,1,Business
29,1760,0,1,0,Eco
12,2804,0,1,0,Eco
25,1646,0,1,0,Eco
60,1578,0,1,1,Eco
25,1113,1,0,1,Eco
36,1525,0,1,1,Eco Plus
17,2186,0,1,0,Eco
55,2196,0,1,1,Eco
24,4384,1,1,1,Business
28,1523,0,1,0,Eco
35,1573,0,1,1,Eco
25,1890,0,0,1,Business
38,1489,1,1,1,Eco Plus
77,2171,0,1,1,Eco
24,1892,0,0,1,Eco
51,2684,1,1,1,Business
54,378,0,1,1,Business
45,3947,0,1,1,Business
46,3386,1,1,1,Business
22,3596,1,1,1,Business
64,903,1,1,0,Eco
13,1388,0,1,0,Eco
29,2211,1,0,1,Business
27,4815,0,1,1,Business
51,3403,1,1,1,Business
55,94,0,1,1,Business
30,4496,1,1,1,Business
40,2725,1,1,1,Business
38,1820,0,1,1,Business
26,1575,1,1,0,Eco
53,3733,1,1,1,Business
50,2359,0,1,0,Eco
32,2948,0,1,0,Eco
27,2567,0,0,1,Eco
24,2238,1,1,0,Eco
33,2386,1,1,1,Business
14,1363,1,1,0,Eco
38,1231,1,0,1,Eco
52,782,1,1,0,Eco
36,2048,0,0,1,Business
59,2282,0,1,0,Eco Plus
69,1975,0,1,0,Eco
57,1652,1,0,1,Eco
16,3827,1,1,0,Eco
31,3824,1,1,1,Eco
20,2018,1,0,1,Eco
66,2257,1,0,0,Eco
54,2844,0,1,0,Eco Plus
37,341,0,1,1,Business
72,2488,1,1,1,Business
41,2296,0,1,1,Eco
52,2597,1,1,1,Business
68,578,1,1,0,Eco
38,555,0,1,1,Business
27,2058,0,0,1,Business
28,1785,0,0,1,Eco
58,1563,1,1,1,Business
14,3769,0,1,0,Eco
25,1676,0,1,1,Business
59,3094,1,1,1,Business
44,2051,0,1,0,Business
40,2568,1,1,1,Business
47,92,0,1,1,Business
41,3045,0,1,1,Business
40,457,0,1,1,Business
60,343,1,1,0,Eco
26,2224,1,1,1,Business
39,1647,0,1,0,Eco
62,3184,0,1,1,Business
49,439,1,1,0,Eco
19,2303,0,0,1,Eco
55,1676,0,1,0,Eco
46,1670,1,1,1,Business
9,2288,0,1,0,Business
54,2149,0,1,1,Business
33,1134,1,1,0,Eco
25,1523,0,0,1,Business
60,2017,1,1,1,Business
7,2623,1,1,0,Eco
26,1896,1,1,1,Eco
56,957,1,1,1,Business
52,656,1,1,1,Eco
60,801,1,1,0,Eco Plus
68,1475,0,1,0,Business
39,1831,0,1,0,Eco
43,2037,0,1,1,Business
36,1587,0,0,1,Business
52,3927,1,1,1,Business
40,266,0,1,1,Business
25,1342,0,1,1,Business
46,3758,1,1,1,Business
51,1949,0,1,1,Business
48,2026,0,1,1,Eco Plus
53,3123,0,1,1,Business
24,2509,1,0,1,Eco
38,2271,1,1,1,Business
39,1553,0,0,1,Business
46,1979,0,1,1,Eco Plus
52,1086,0,1,1,Business
22,3048,0,1,1,Business
35,2593,0,0,1,Business
38,1628,0,1,1,Eco Plus
44,2356,0,0,1,Eco
55,3733,0,1,1,Business
22,4090,0,1,1,Business
20,1176,0,0,1,Eco
42,3633,0,1,1,Eco
41,315,1,1,1,Business
37,1684,0,1,0,Eco
46,452,1,1,0,Eco
54,1653,1,0,1,Eco
21,2789,1,1,1,Eco
51,2460,0,1,0,Eco
29,3706,0,1,1,Business
24,1265,1,1,0,Business
42,3728,0,1,1,Business
25,1858,1,0,1,Eco
41,1377,0,1,1,Eco
29,3279,0,1,1,Business
35,2985,0,1,0,Eco
64,3368,1,1,1,Business
31,2429,1,1,1,Eco
20,1957,1,0,1,Eco
30,1322,0,1,1,Business
49,2082,1,1,1,Business
61,703,0,1,1,Business
31,3241,0,1,1,Business
25,2625,1,0,1,Business
21,2950,0,1,1,Business
44,879,0,1,1,Business
39,1028,1,1,1,Business
62,435,1,1,1,Eco
21,1562,0,0,1,Eco
67,976,0,1,0,Eco Plus
52,2732,0,1,1,Business
23,2026,0,1,0,Eco
51,2745,0,1,1,Business
10,2272,1,1,0,Eco
46,1252,1,1,1,Eco
26,1622,0,1,1,Eco
45,923,1,1,1,Eco Plus
45,2482,1,1,1,Business
23,1615,1,0,1,Eco
33,1357,1,1,1,Business
41,1783,0,1,1,Business
17,1429,0,0,1,Eco
48,1089,1,1,0,Eco Plus
67,3563,0,1,1,Business
44,3581,1,1,1,Business
36,2985,0,0,1,Business
36,1536,1,1,0,Eco
19,1986,1,0,1,Eco
35,3788,0,1,0,Eco
27,4515,1,1,1,Business
11,1820,0,0,1,Eco
18,1803,1,1,0,Eco
63,219,1,1,1,Business
59,2390,0,1,1,Business
30,1533,1,1,0,Eco
37,782,1,1,1,Business
61,356,1,1,1,Business
44,1851,1,1,1,Business
71,267,1,1,1,Eco
62,529,1,1,0,Eco
54,1135,1,1,1,Business
23,3693,1,1,1,Business
33,1970,0,1,1,Business
43,2031,0,1,1,Eco
37,432,0,1,1,Business
23,1367,1,0,1,Eco
57,1605,0,1,0,Eco
42,2888,1,0,1,Eco
58,3886,1,1,1,Business
45,268,0,1,1,Business
13,2024,1,1,0,Eco
53,761,1,1,0,Eco
9,1815,1,1,0,Eco
56,552,1,1,0,Eco
31,1924,0,1,1,Business
59,3846,1,1,1,Business
26,1378,1,0,1,Business
55,1583,0,1,0,Eco Plus
30,1015,1,1,0,Eco
38,1801,1,0,1,Business
60,566,0,1,1,Business
46,401,1,1,1,Business
68,2889,0,1,0,Eco
62,50,1,1,1,Eco
26,2240,1,0,1,Eco
46,2360,1,1,1,Business
39,483,1,1,1,Business
38,2440,0,1,0,Eco
64,240,1,1,0,Eco
31,1805,0,1,0,Eco
31,2125,0,1,1,Business
56,2571,0,1,1,Eco
61,3034,0,1,0,Eco
51,742,1,1,0,Eco
46,1262,1,1,0,Eco
54,2827,1,1,1,Business
65,635,1,1,1,Eco
28,3697,1,1,1,Business
38,1599,1,1,1,Business
18,1867,0,1,1,Business
40,1444,1,0,1,Business
21,1373,0,1,0,Eco Plus
11,5255,0,1,1,Business
60,3279,0,1,1,Business
40,377,1,1,1,Business
15,2213,1,0,1,Business
41,1651,0,1,1,Business
52,3160,0,1,1,Business
19,2244,1,1,1,Business
59,2466,1,0,1,Eco
32,2021,0,1,0,Business
29,1139,1,1,0,Eco
42,241,1,1,1,Business
51,3748,0,1,1,Business
72,2487,0,1,1,Eco
49,348,1,1,0,Eco
43,1485,1,1,1,Business
31,2461,0,1,0,Eco
59,1827,0,1,1,Business
39,2471,1,1,1,Business
11,2026,0,1,0,Eco
47,3708,0,1,1,Business
37,2154,0,1,0,Eco
24,2048,0,0,1,Eco
48,4001,0,1,0,Eco
46,2439,1,0,1,Eco
44,3329,1,1,1,Business
29,1964,0,1,0,Eco
44,1584,0,1,1,Business
69,400,1,1,0,Eco
35,1562,0,1,0,Eco
69,2131,0,1,0,Eco
32,3229,0,1,1,Business
22,2673,0,0,1,Business
36,1945,0,1,1,Eco
25,1902,1,1,0,Eco
48,2118,0,0,1,Business
52,1420,0,1,1,Eco
68,3731,1,1,1,Business
36,274,0,1,1,Business
60,1857,1,1,1,Business
40,2915,0,1,0,Eco Plus
36,2591,1,1,0,Eco
60,435,0,1,0,Business
56,2331,1,1,0,Eco
34,1709,0,0,1,Eco
61,354,0,1,1,Business
49,1804,0,1,1,Business
25,1679,0,0,1,Business
28,4351,1,1,1,Business
41,2315,0,1,0,Eco
23,1784,0,0,1,Eco
46,2504,1,1,1,Business
14,2650,1,1,0,Eco
11,2326,1,1,0,Eco
32,4096,0,1,1,Business
52,504,1,1,1,Eco
28,1711,0,0,1,Eco
23,4718,0,1,1,Business
57,1631,0,1,0,Eco
15,1530,0,1,0,Eco
37,2203,0,1,0,Eco Plus
60,2811,0,1,1,Business
30,1861,0,0,1,Business
57,3135,1,1,1,Business
66,1923,0,1,0,Eco
43,1688,0,1,1,Eco
73,1597,1,1,1,Business
55,2023,0,1,1,Eco
9,3121,0,1,0,Eco
58,2533,1,1,1,Business
35,253,0,1,1,Business
39,3857,1,1,1,Business
27,1842,0,1,0,Eco
80,393,0,1,1,Business
34,1743,1,0,1,Business
24,4227,0,0,1,Eco
47,2893,1,1,1,Business
34,2730,0,1,1,Business
70,1622,0,1,0,Eco Plus
27,3710,0,1,1,Business
43,2714,1,1,1,Business
39,2058,1,0,1,Business
55,3447,0,1,1,Business
38,413,0,1,1,Business
17,1890,0,1,0,Eco
27,1964,0,0,1,Eco
56,2818,0,1,1,Business
43,2282,1,1,1,Business
41,2437,1,1,0,Eco
50,900,1,1,1,Business
24,1789,1,1,0,Eco
22,3135,1,0,1,Eco
37,1010,0,1,1,Business
39,3236,1,1,0,Eco
35,1910,1,1,1,Eco
38,3495,0,1,1,Business
50,1931,1,1,1,Business
41,2373,0,1,1,Eco
36,2413,1,0,1,Eco
32,2550,0,1,1,Eco Plus
63,2443,0,1,0,Eco
28,1395,0,1,0,Eco
51,371,1,1,0,Eco Plus
51,494,1,1,0,Business
36,2219,0,1,0,Eco
26,3855,0,0,1,Eco
38,1543,0,0,1,Business
21,1146,1,0,1,Eco
41,2956,1,1,1,Business
56,1399,0,1,1,Eco
34,1791,1,1,1,Business
46,2494,0,1,0,Business
47,3549,1,1,1,Business
66,1773,0,1,0,Eco
49,1810,0,1,0,Eco
31,2967,1,1,0,Eco
50,3824,1,1,1,Business
47,369,1,1,1,Business
30,1980,1,1,0,Eco
12,2440,1,0,1,Eco
55,3729,1,1,1,Business
44,1534,1,1,1,Business
63,1808,0,1,0,Eco
59,2753,0,1,0,Eco
65,1420,0,1,0,Eco
50,675,0,1,1,Business
30,1690,0,1,1,Eco
27,4204,0,0,1,Business
48,1045,1,1,0,Eco
17,2134,0,1,0,Eco
54,2690,0,1,1,Business
43,472,1,1,1,Business
64,3645,1,1,1,Business
32,4843,0,1,1,Business
27,3937,1,1,0,Eco Plus
52,2300,0,1,1,Business
63,1385,0,1,1,Eco Plus
19,1920,1,1,1,Eco
61,3039,0,1,0,Eco
53,2051,0,1,1,Business
31,1632,0,1,0,Eco
27,2062,1,1,0,Eco
36,2002,1,1,0,Eco Plus
47,2388,0,1,1,Eco
22,3247,1,1,1,Eco
39,3156,1,1,1,Business
56,956,0,1,1,Business
26,4178,1,1,1,Business
30,1978,1,0,1,Business
34,3549,1,1,1,Business
32,1283,0,0,1,Business
53,800,1,1,0,Eco Plus
56,203,0,1,0,Business
40,1586,1,1,1,Business
45,1811,1,1,1,Business
54,1415,1,1,1,Eco Plus
47,3789,1,1,1,Business
47,1508,1,1,0,Eco
47,535,1,1,1,Business
43,920,1,1,0,Eco
9,2294,0,1,0,Business
52,466,1,1,1,Business
42,3709,1,1,1,Business
25,1951,1,0,1,Business
52,243,0,1,1,Business
19,2072,0,1,0,Eco
67,1695,0,1,0,Eco
25,1780,0,1,1,Eco Plus
57,808,1,1,1,Business
35,2062,0,0,1,Eco
20,1546,1,0,1,Eco
23,3608,1,1,0,Eco
43,1383,0,0,1,Eco
12,1243,0,1,0,Eco
31,3940,0,1,1,Business
37,554,0,1,1,Business
55,1548,1,0,1,Eco
19,2262,0,1,0,Eco
45,1843,0,1,1,Eco
59,1761,1,1,1,Business
44,3331,0,1,1,Business
26,2397,1,0,1,Business
58,827,1,1,0,Eco
32,1697,0,1,0,Eco
29,2620,1,1,1,Business
24,2076,1,1,0,Eco
47,2562,1,0,1,Eco
43,645,0,1,1,Business
33,3949,0,1,1,Business
44,3498,0,1,1,Business
26,890,1,0,1,Business
45,970,1,1,0,Eco
39,2299,0,1,1,Business
21,1733,1,0,1,Business
46,2459,0,1,1,Business
70,3602,0,1,0,Eco
68,92,1,1,0,Eco
56,900,1,1,1,Eco
11,2219,0,1,0,Eco Plus
31,4145,1,1,0,Eco Plus
14,1400,1,1,0,Eco Plus
52,1712,1,1,1,Business
26,1504,1,1,0,Eco
52,1277,0,1,1,Eco
10,3056,1,1,0,Eco
28,2072,0,1,1,Eco Plus
64,1690,1,1,1,Business
41,2115,1,0,1,Business
52,1154,1,1,0,Eco
52,898,1,1,1,Business
37,1210,1,0,1,Business
50,2126,0,1,0,Eco
24,2603,1,1,1,Business
25,2636,0,0,1,Eco
47,1526,1,1,1,Eco
45,2284,1,1,1,Business
22,1098,0,0,1,Eco
26,1765,0,1,0,Eco
21,2638,1,0,1,Business
37,1331,1,1,1,Eco
40,2247,1,1,0,Eco
39,292,0,1,1,Business
24,2185,1,1,1,Business
47,397,0,1,1,Business
42,1798,1,0,1,Business
48,1026,1,1,1,Eco
43,2059,0,1,0,Eco
20,2035,0,0,1,Eco
25,1725,0,1,1,Business
39,2562,0,0,1,Business
65,550,1,1,0,Eco
23,2372,1,1,0,Eco Plus
44,2871,1,1,1,Business
43,1045,1,1,0,Business
34,3159,1,1,1,Business
36,2247,0,1,0,Eco
69,374,1,1,0,Eco
64,216,1,1,1,Eco
56,1007,1,1,1,Business
24,2592,1,0,1,Eco
27,2541,1,0,1,Business
39,3312,1,1,0,Eco
53,2067,0,1,0,Eco
45,1635,1,1,0,Eco
38,3634,0,1,1,Business
32,1765,0,1,0,Eco
56,2453,0,1,0,Eco
14,2541,0,1,0,Eco
34,1641,1,0,1,Eco
27,3969,0,1,1,Business
